Title,Published_date,Likes,Views
"Donating $100,000 To A Random Fortnite Streamer",2018-08-05,1099335,51866665
Moving 10 Pounds Using ONLY Sound,2018-08-02,1214599,44836756
Returning Destroyed Rental Cars Prank,2018-07-27,616924,36540146
"I Gave My 6,000,000th Subscriber 6,000,000 ____",2018-07-25,397609,17596264
"Can 1,000 Fans At Max Speed Push A Car?",2018-07-17,625121,28525158
"I Donated $50,000 To Ninja - Fortnite",2018-07-14,2142836,96382567
I Ubered Random People In A Tank,2018-07-11,875423,29835074
World's Hottest Substance Vs Coldest Substance,2018-06-30,1609000,87076247
The Real Way Dinosaurs Went Extinct,2018-06-28,800258,28624887
I Donated $1000 Every Time She Blinked - Fortnite Streamers,2018-06-24,641199,21515040
I Built A Working Car Using Only LEGOS,2018-06-23,1672231,74164865
Do Water Repellent Shoes Actually Work?,2018-06-22,1914970,123600476
"We Drove 3,000 Miles For The World's Best Burger",2018-06-09,1218402,52858225
"I Gave My 5,000,000th Subscriber 5,000,000 ______",2018-06-08,294433,11200412
I Made Money Grow On Trees,2018-06-01,436116,17186572
I Took Apart My Friends Car And Put It In His Room,2018-05-25,315648,15675119
How Many Rubber Bands Does It Take To Snap A Safe?,2018-05-22,921040,36957435
Pulling Cars Over Using A Toy Police Car,2018-05-13,549150,24508745
"I Gave $500,000 To Random People",2018-05-11,454481,14990357
How Many Toy Cars Does It Take To Pull A Real Car?,2018-05-04,765769,40761647
"I Gave $20,000 To People From An Ice Cream Truck",2018-05-02,348630,14657886
$10000 Ice Sculpture Vs Flame,2018-05-01,507319,23611298
"Can 1,000 Rolls Of Duct Tape Stop A Car??",2018-04-30,551601,26704656
Winning A Game Of Fortnite In The Middle Of The Ocean,2018-04-25,789785,31197154
I Flew Using Only Balloons AND Leaf Blowers,2018-04-23,658390,32430960
"I Donated $40,000 To A Random Twitch Fortnite Streamer (world record)",2018-04-21,630412,24254763
Destroying My Friend's Car And Surprising Him With A New One,2018-04-13,628107,38626500
Walking Up To Random People With 100 StormTroopers,2018-04-11,499676,19252578
"I Donated $10,000 If They Said This Word (Twitch Streamers)",2018-04-04,558233,19987145
"Giving My 4,000,000th Subscriber 4,000,000 Cookies",2018-04-02,344924,13155157
"I Tipped Waitresses $20,000",2018-03-30,353788,14665023
Walking Into Random Stores With 100 Dinosaurs,2018-03-22,893926,32584586
I Built A Mansion Using Only Cardboard Boxes,2018-03-20,576755,25518666
Breaking Glass Using Only Megaphones,2018-03-17,1416626,53717867
Tying My Shoes In Every State (World Record),2018-03-16,441446,17627379
"I Dropped $20,000 From A Drone",2018-03-08,249681,7726532
"Donating $10,000 To Fortnite Streamers If They Win",2018-03-03,274822,11305184
Trying To Fly Using Only Leaf Blowers,2018-03-01,431527,18264284
"Giving 3,000,000 Pennies To My 3,000,000th Subscriber",2018-02-22,234410,8690712
"I Donated $30,000 To My Favorite Twitch Streamer (ninja)",2018-02-21,864817,36629489
"I Gave $20,000 To Random Homeless People",2018-02-17,1327747,47329923
I Bought An Expensive Car Using Only $1 Bills,2018-02-13,1082099,37172151
I Bought The World's Most Expensive Apps ($10k),2018-02-08,770371,26950778
We Delivered 100 Pizzas To Random Houses,2018-02-02,228656,9097403
"I Donated $30,000 To A Random Twitch Streamer (world record)",2018-01-28,1058184,32655757
I Bought A Car Using Only Pennies,2018-01-25,722487,26331970
I Bought One Snickers Bar From Every Walmart,2018-01-13,1127058,44347229
Donating Big Donations To Twitch Streamers!!!,2018-01-11,582218,27532697
I Can't Believe I Found This Stuff On Amazon..,2017-12-22,1203901,30707032
"Saying ""Keep Net Neutrality"" For 10 Hours",2017-12-17,81017,2192301
Life Hacks You Need To Know,2017-12-08,203448,7322167
"Can 100,000 Pieces Of Paper Stop A Bullet?",2017-12-06,486405,25869186
"Giving My Mom $100,000 (Proudest Day Of My Life)",2017-12-02,1511113,30896232
"2,256 Miles In One Uber Ride (World Record)",2017-10-28,1096641,42124183
i'm really sorry,2017-10-26,205451,5754140
Hi Me In Two Years (Made Two Years Ago),2017-10-04,604230,13514976
What Actually Happens When You Click On Spam Ads,2017-10-01,154148,3786837
"Tipping Uber Drivers $10,000",2017-08-30,127713,4592550
Going To The Connor McGregor fight!,2017-08-28,231105,6022606
"Tipping Pizza Delivery Guys $10,000",2017-08-23,695081,22081779
"Microwaving my iPhone, what happens next might shock you..",2017-08-20,123783,2715658
"Saying Logan Paul 100,000 Times",2017-08-19,924852,22965721
"Donating $10,000 To Random Twitch Streamers",2017-08-15,226607,10770498
Breaking The Law,2017-07-09,839674,31862721
"Giving Homeless People $1,000 (Not Clickbait)",2017-06-28,225710,6460256
We Are Better Than Dude Perfect,2017-06-24,660172,25690573
Every Challenge I've Ever Done,2017-06-23,28162,864398
Watching It's Everyday Bro For 10 Hours Straight,2017-06-17,825118,27945415
"Giving A Random Homeless Man $10,000",2017-06-15,539892,10713347
Toothpaste Life Hacks YOU SHOULD KNOW,2017-06-13,506793,19704696
"Reading The Longest English Word (190,000 Characters)",2017-06-02,800497,34812439
Fidget Spinner Vs Face (Legit Had To Get Stitches),2017-05-02,1624113,41718215
Grilling A Microwave Microwaving A Microwave Microwaving A Toaster Toasting An Iphone Watching Micro,2017-03-30,70380,2014271
#1 MOST INSANE MAGNET LIFE HACK EVER,2017-03-24,530342,26208527
Watching Dance Till You're Dead For 10 Hours,2017-03-21,2574060,52512238
I Can't Break My Strange Addiction,2017-03-19,94350,1833681
OMG! INSANE CUP FORT,2017-03-14,96621,4092293
Savage Level 9000,2017-03-08,321910,7242283
Reading The Youtube Terms Of Service,2017-03-07,18972,518612
Reacting To The Reaction Of The Reaction To The Reaction Of The Reaction Of The Reaction To The Reac,2017-02-22,325325,7630385
"Counting To 200,000 (Road To A Mil)",2017-02-18,149126,3777328
Microwaving Dry Ice (Microwave Explodes),2017-02-09,97150,3309348
"I Counted To 100,000!",2017-01-09,1391049,28982111
we are number one but every one is a bad intro,2016-12-25,56436,1956240
Microwaving A Microwave Microwaving A Toaster,2016-12-23,88318,4869056
HOW TO UNLOCK ANY IPHONE WITHOUT THE PASSCODE,2016-12-21,585636,22890843
WHY DO THEY SELL THIS ON AMAZON?,2016-12-18,725621,8690631
Microwaving A Microwave,2016-12-09,432289,11293573
IF YOU ONLY SEE ORANGE YOU'RE COLOR BLIND,2016-12-05,93771,1788167
I Mailed Myself IN A BOX & it REALLY WORKED! (Human Mail Challenge),2016-11-30,455148,16192177
STUPIDEST PERSN ON EART (Really Dumb),2016-11-28,186530,2498641
"Reading The Entire Bee Movie Script But Everytime They Say ""Bee"" I Repeat All the Previous Bees",2016-11-25,217194,10860857
THE WORST THINGS EVER TO EXIST,2016-11-19,330859,3715315
BLOWING UP $1000 KEYBOARD *RIP WALLET*,2016-11-11,229759,3839535
MY $1000 KEYBOARD CHANGED MY LIFE,2016-11-03,358958,13375901
I BOUGHT A 1000$ KEYBOARD,2016-10-25,37405,1557061
IF ONLINE ADS WERE REAL,2016-10-16,587797,9846375
IT FINALLY CAME IN THE MAIL,2016-10-10,10219,284424
Bleach Bottle Flips (COP CALLED),2016-10-09,55218,1201507
Hi Me In A Year (Scheduled Uploaded A Year Ago),2016-10-04,48766,1459609
Epic New Gaming And Youtube Setup 2016,2016-09-30,14098,375742
24 HOUR EXPLOSION GIVEAWAY! WIN GIFTCARDS,2016-09-05,31947,696035
LISTENING TO OLD VOICEMAILS FOR THE FIRST TIME,2016-08-28,10344,309152
GAMBLING MONEY WITH SCRATCH OFF TICKETS,2016-08-26,58892,3015833
BEST WALMART TOILET PAPER FORT,2016-08-24,51256,1448449
100 LAYERS OF SARAN WRAP + TOILET PAPER!!,2016-08-23,137959,3226206
WORST REVIEWS ON AMAZON #4 *FUNNY*,2016-08-21,126599,1644197
HOW MUCH MONEY DO YOUTUBERS MAKE?,2016-08-14,153336,3082488
THE WORST SONG ON YOUTUBE *CRINGE*,2016-08-08,41698,804803
SURPRISING MY BROTHER WITH A LAPTOP,2016-08-07,115494,1637427
"SELLING ORGANS FOR $1,000,000",2016-08-02,122822,3558969
POKEMON GO STEREOTYPES,2016-07-14,64132,2212331
"100,000 SUBSCRIBERS.EXE",2016-07-08,74593,1272510
WORST REVIEWS ON AMAZON #2 HOW IS THIS LEGAL?,2016-07-02,46288,1175065
BLOWING UP MY TABLET,2016-07-01,6940,156496
Worst Reviews On Amazon #1 (Minecraft Edition),2016-06-26,17121,703001
WORST THUMBNAILS ON YOUTUBE #3,2016-06-21,33626,824374
REACTING TO MY OLD MINECRAFT VIDEOS (HORRIBLE),2016-06-19,35785,1308726
HOW TO MAKE A GOOD INTRO FOR YOUTUBE,2016-06-14,5733,170874
WORST BANNERS ON YOUTUBE #1,2016-06-13,18315,645137
"50,000 Subscribers.exe",2016-06-11,16815,384471
Dude Perfect 4.0 - We Are Totally Better,2016-06-06,12630,405284
CUTTING TABLE IN HALF WITH PLASTIC KNIVES,2016-06-04,164767,3651098
BEST INTROS ON YOUTUBE #1,2016-06-01,808716,27710735
Motivation For Youtubers #6 LAST ONE,2016-05-24,5287,123765
How Many Licks Does It Take To Get To The Center Of A Tootsie Pop?,2016-05-19,11643,361279
Motivation For Youtubers #5,2016-05-15,7611,161523
18th Birthday QNA - Mom's Hair Dryer Age?,2016-05-07,13906,328386
WORST MEMES AND TRENDS ON YOUTUBE!,2016-05-01,12599,620935
Cereal Commentary,2016-04-28,4502,120813
WHERE IS MY COOKIE?????,2016-04-24,11426,101778
"How Much Money Do Big Youtubers Make? (Pewdiepie, Markiplier, etc)",2016-04-22,3978,93911
Struggles Of Being A Youtuber,2016-04-19,4396,105290
Reenacting Youtubers,2016-04-16,6263,147161
Life Before And After Gamma (Insane) @GFuelEnergy,2016-04-13,1559,37262
Worst Thumbnails On Youtube #2 - Cringe,2016-04-10,9869,268859
Motivation For Small Youtubers #4 - Inspiration For Youtubers,2016-04-08,6336,119196
Scheduled Uploaded 6 Months Ago (REACTION),2016-04-06,4488,117705
Dude Perfect 3.0 - We Are Better,2016-04-04,21144,676570
Dear Future Me (Scheduled Uploaded 6 Months Ago),2016-04-04,126725,2077381
$100 GIVEAWAY PRANK (NO WEAPONS INVOLVED),2016-04-03,1519,52797
GIVING AWAY $100 ITUNES GIFT CARDS,2016-04-01,3561,109397
Walking Dead Daryl DIED (Fan Reaction To Death),2016-03-28,3416,134942
Why Do Youtubers Ask For Likes?,2016-03-27,11487,161060
Making My Background More Epic,2016-03-26,1906,41992
Doing Youtube For Fun Or Views?,2016-03-23,1946,41185
Pranks That Went Horribly Wrong,2016-03-19,89578,2052905
Who Founded Faze? Who Created Faze Clan?,2016-03-18,72954,2014261
Subscriber Goals For 2017,2016-03-09,2375,61300
"20,000",2016-03-08,4872,139318
The Dreaded Unanswerable Question,2016-02-29,3217,98939
WORST THUMBNAILS ON YOUTUBE,2016-02-28,23342,548726
Beast Goes Camping (Didn't Go Wrong) (Didn't Go Sexual),2016-02-20,3641,124738
NBA Interviews Gone Wrong (No Gun Pulled),2016-02-20,1640,48619
Movie Trailers Be Like,2016-02-15,3884,84360
What Is Youtube Red? Should I Buy Youtube Red?,2016-02-10,3404,86757
Things I Hate #2 - Youtube Edition,2016-02-09,7029,149803
Super Bowl Commercial 2016 Cost - How Much Does A Commercial Cost In 2016 Super Bowl?,2016-02-07,2153,73689
Counting To 10000 In One Sitting,2016-02-01,706440,64243881
HOW TO MAKE A VIRAL PRANK VIDEO 100% LEGIT,2016-01-26,5210,125261
Is Obama Dead? Dumb Google Searches!,2016-01-24,4480,215107
How To Be MrBeast (Made By Really Old Subscriber),2016-01-23,2587,57805
Should You Play Video Games?,2016-01-22,3827,76488
School Is A Waste Of Time,2016-01-21,5298,113693
Is Michael Bay My Dad????????,2016-01-18,2077,63314
Lottery Taxes - How Much Tax Is If You Win The Lottery,2016-01-16,3235,119370
Motivation For Small Youtubers #3,2016-01-12,8283,150622
Giving Away Two $15 Gift Cards (forgive me boyz),2016-01-10,2369,40409
